tconst,averageRating,numVotes
tt10919474,7.3,8
tt10919486,7.0,38794
tt10919902,7.1,717
tt10922712,7.0,74
tt10923940,5.6,162
tt10927068,4.9,82
tt10929348,8.1,147
tt10929896,5.9,18
tt10930366,7.1,77
tt10930384,7.6,70
tt10930958,5.2,2229
tt10932100,7.7,1683
tt10934620,7.9,13
tt10937318,5.1,347
tt10937434,6.2,5801
tt10937746,8.5,95
tt10938266,5.4,324
tt10941528,5.6,3479
tt10941888,7.1,46
tt10942082,8.2,15
tt10944154,4.2,7
tt10944266,6.4,17
tt10945134,6.9,20
tt10945950,5.4,33
tt10947842,8.0,16
tt10948316,7.5,2533
tt10951262,6.3,8
tt10953594,6.5,6
tt10955204,7.5,31
tt10956962,6.2,28
tt10958282,6.4,2172
tt10964076,6.7,6
tt10965300,7.2,322
tt10970552,7.4,142909
tt10971022,6.5,6878
tt10971520,5.9,1506
tt10971532,8.2,2874
tt10972734,8.4,73
tt10972990,7.9,9
tt10973800,6.1,8648
tt10977486,7.2,676
tt10977680,7.0,1071
tt10978398,5.6,5205
tt10978676,8.4,68
tt10981266,7.5,172
tt10981666,5.7,105
tt10984818,6.3,409
tt10984928,7.4,6
tt10985028,5.0,66
tt10986050,6.9,5125
tt10986052,7.2,5041
tt10986056,7.6,6349
tt10986338,7.7,558
tt10986480,5.8,9
tt10987498,7.0,49
tt10990804,6.4,140
tt10991188,5.0,4256
tt10999840,7.8,12
tt10999846,8.2,454
tt11000890,6.6,11
tt11000894,8.3,571
tt11002984,6.9,103
tt11003514,8.1,881
tt11005162,5.5,158
tt11010144,4.6,1397
tt11010430,7.9,26
tt11012066,3.6,23074
tt11012418,5.7,11
tt11017330,7.4,45
tt11018078,5.7,45
tt11018080,6.6,55
tt11023258,5.7,18
tt11024266,7.3,201
tt11024272,5.8,59047
tt11027086,8.7,13
tt11027510,5.6,972
tt11027598,6.1,16
tt11027832,6.9,12
tt11032574,8.1,21
tt11032576,7.8,39
tt11032584,7.4,34
tt11032678,7.4,20
tt11032990,5.0,1173
tt11043432,8.3,74
tt11045448,7.8,15
tt11045972,4.2,150
tt11046444,9.7,3384
tt11050682,2.8,65
tt11050934,7.4,20
tt11050954,7.4,16
tt11050956,7.5,15
tt11052346,6.7,212
tt11053220,6.2,3352
tt11055460,7.3,20
tt11056410,7.7,24
tt11056578,6.8,23
tt11057594,4.6,7273
tt11057644,6.0,40702
tt11058176,5.0,575
tt11058644,7.6,4496
tt11058724,8.0,8
tt11058756,5.8,5
tt11060730,4.7,1443
tt11062144,7.7,9
tt11062906,6.7,19
tt11063330,7.0,12
tt11063852,6.6,27
tt11063950,5.9,64
tt11063952,7.8,2298
tt11064862,7.1,1046
tt11065164,7.1,61
tt11066130,6.7,996
tt11067074,7.0,9
tt11069436,7.7,1415
tt11074950,8.6,10
tt11075870,5.3,266
tt11080442,6.3,98
tt11084666,7.6,973
tt11086026,7.3,46
tt11086370,8.4,154
tt11089316,8.9,8
tt11089658,9.4,2021
tt11090598,8.1,20
tt11090898,8.7,42
tt11091976,6.5,9
tt11092086,5.2,1104
tt11095370,6.0,37
tt11095652,7.6,6
tt11095694,6.6,13
tt11097576,7.9,470
tt11098488,6.6,15
tt11100856,5.6,20243
tt11101282,7.7,438
tt11101466,7.1,55
tt11101698,8.2,3079
tt11106058,7.1,291
